case,D_x,D_y,D_z,S_x,S_y,S_z,voxel_volume,max_mri_intensity,min_mri_intensity,mean_mri_intensity,std_mri_intensity,seg_total_voxels,prostate_volume,total_image_volume
0,512.0,512.0,47.0,0.273438,0.273437,2.20001,0.1644904,12435.0,0.0,216.92023,258.35345,276765.0,45525.188,2026648.1
1,512.0,512.0,29.0,0.351563,0.351567,3.00026,0.3708259,402.0,0.0,85.86432,55.7253,114562.0,42482.555,2819083.8
2,512.0,512.0,54.0,0.273438,0.27344,2.19998,0.16449007,17472.0,0.0,177.3738,306.02002,175183.0,28815.865,2328484.8
3,512.0,512.0,42.0,0.273439,0.273438,2.20002,0.16449243,28630.0,0.0,940.37415,671.0721,145985.0,24013.428,1811069.5
4,512.0,512.0,46.0,0.27344,0.273439,2.2005,0.16452944,15115.0,0.0,204.17647,260.2851,213235.0,35083.434,1983998.6
5,512.0,512.0,42.0,0.273438,0.273435,2.20005,0.16449243,17916.0,0.0,775.1227,464.479,359736.0,59173.848,1811069.5
6,512.0,512.0,39.0,0.312499,0.312496,2.79993,0.27342635,21811.0,0.0,579.62177,431.67862,508797.0,139118.5,2795406.0
7,512.0,512.0,34.0,0.273438,0.273438,2.99994,0.22430037,865.0,0.0,62.00659,41.628963,185667.0,41645.176,1999165.9
8,512.0,512.0,40.0,0.312501,0.312503,2.79997,0.2734381,30034.0,0.0,874.00745,669.4663,110354.0,30174.986,2867206.2
9,512.0,512.0,47.0,0.273438,0.273435,2.20001,0.16448936,32767.0,0.0,516.86115,539.6408,358176.0,58916.145,2026635.2
10,512.0,512.0,39.0,0.3125,0.312504,2.79999,0.27344003,3996.0,0.0,151.90755,122.86495,160165.0,43795.523,2795546.0
11,512.0,512.0,45.0,0.312499,0.312502,2.79998,0.2734363,27479.0,0.0,820.4622,580.94257,229955.0,62878.043,3225585.8
12,512.0,512.0,46.0,0.273438,0.273435,2.19994,0.16448419,10177.0,0.0,238.36034,287.91876,222403.0,36581.777,1983453.0
13,320.0,320.0,15.0,0.6,0.6,4.0,1.4399987,1486.0,0.0,285.85855,226.82323,33696.0,48522.2,2211838.2
14,320.0,320.0,20.0,0.625,0.625,3.6,1.40625,1693.0,0.0,376.25375,277.31018,50901.0,71579.53,2880000.0
15,320.0,320.0,20.0,0.625,0.625,3.6,1.4062489,2578.0,0.0,307.82623,281.28894,29574.0,41588.406,2879998.0
16,320.0,320.0,20.0,0.625,0.625,3.6,1.40625,1795.0,0.0,333.5601,250.51958,30396.0,42744.375,2880000.0
17,320.0,320.0,20.0,0.625,0.625,3.6,1.40625,1731.0,0.0,283.20233,233.12155,10616.0,14928.75,2880000.0
18,320.0,320.0,17.0,0.6,0.6,4.00001,1.4400036,1635.0,0.0,339.34137,229.90585,89169.0,128403.68,2506758.2
19,320.0,320.0,20.0,0.625,0.625,3.6,1.40625,1565.0,0.0,317.59256,264.55634,31252.0,43948.125,2880000.0
20,320.0,320.0,20.0,0.625,0.625,3.6,1.40625,1662.0,0.0,307.59674,239.14531,24563.0,34541.72,2880000.0
21,320.0,320.0,20.0,0.625,0.625,3.6,1.40625,2052.0,0.0,372.17206,309.95798,35602.0,50065.312,2880000.0
22,320.0,320.0,20.0,0.625,0.625,3.60001,1.4062539,1508.0,0.0,308.49664,247.97238,42542.0,59824.855,2880008.0
23,320.0,320.0,20.0,0.625,0.625,3.6,1.40625,1562.0,0.0,321.36594,228.71489,224278.0,315390.94,2880000.0
24,320.0,320.0,20.0,0.625,0.625,3.6,1.40625,1466.0,0.0,209.16078,193.98225,23190.0,32610.938,2880000.0
25,256.0,256.0,18.0,0.75,0.75,4.0,2.25,1816.0,0.0,390.74,249.96567,47179.0,106152.75,2654208.0
26,512.0,512.0,23.0,0.390625,0.390625,3.3,0.50354004,1643.0,0.0,235.78056,235.71431,112110.0,56451.875,3036000.0
27,512.0,512.0,23.0,0.390625,0.390625,3.3,0.50354004,1797.0,0.0,280.32437,269.9333,76684.0,38613.465,3036000.0
28,512.0,512.0,23.0,0.390625,0.390625,3.3,0.50354004,2414.0,0.0,262.3836,273.21365,95916.0,48297.547,3036000.0
29,512.0,512.0,23.0,0.390625,0.390625,3.3,0.50354004,1866.0,0.0,272.08438,256.91754,136329.0,68647.11,3036000.0
30,512.0,512.0,23.0,0.390625,0.390625,3.3,0.50354004,2146.0,0.0,287.41476,278.07593,94156.0,47411.316,3036000.0
31,512.0,512.0,23.0,0.390625,0.390625,3.3,0.50354004,1719.0,0.0,266.4789,241.8302,105793.0,53271.01,3036000.0
32,512.0,512.0,23.0,0.390625,0.390625,3.3,0.50354004,2105.0,0.0,253.96329,255.11983,57592.0,28999.879,3036000.0
33,512.0,512.0,23.0,0.351563,0.351563,3.0,0.37078962,1325.0,0.0,312.5568,209.06831,98268.0,36436.754,2235606.2
34,384.0,384.0,28.0,0.46875,0.46875,3.33,0.73168945,416.0,0.0,84.25275,67.74746,42348.0,30985.586,3020976.0
35,256.0,256.0,23.0,0.703125,0.703125,3.3,1.6314697,693.0,0.0,210.58641,132.21309,19442.0,31719.035,2459160.0
36,512.0,512.0,26.0,0.351563,0.351563,3.3,0.4078686,1176.0,0.0,210.76733,161.09569,72311.0,29493.385,2779928.0
37,320.0,320.0,28.0,0.625,0.625,3.6,1.40625,1280.0,0.0,188.4593,159.30403,35105.0,49366.406,4032000.0
38,320.0,320.0,24.0,0.625,0.625,3.6,1.4062506,4095.0,0.0,227.7443,226.0968,57583.0,80976.13,3456001.5
39,320.0,320.0,24.0,0.625,0.625,3.6,1.4062508,4095.0,0.0,192.49481,216.93382,36917.0,51914.562,3456002.0
40,320.0,320.0,24.0,0.625,0.625,3.6,1.4062513,4095.0,0.0,179.26207,205.74242,25372.0,35679.406,3456003.2
41,320.0,320.0,24.0,0.625,0.625,3.6,1.4062494,4095.0,0.0,232.46458,236.44514,16682.0,23459.053,3455998.5
42,320.0,320.0,24.0,0.625,0.625,3.6,1.4062506,4095.0,0.0,214.76932,213.68906,80225.0,112816.46,3456001.5
43,320.0,320.0,24.0,0.625,0.625,3.6,1.4062506,4095.0,0.0,225.55704,235.04044,36026.0,50661.586,3456001.5
44,320.0,320.0,24.0,0.625,0.625,3.6,1.4062513,4095.0,0.0,224.2863,247.35251,26164.0,36793.16,3456003.2
45,320.0,320.0,24.0,0.625,0.625,3.6,1.4062504,4095.0,0.0,195.37437,198.94258,17067.0,24000.475,3456001.0
46,320.0,320.0,24.0,0.625,0.625,3.6,1.4062501,4095.0,0.0,266.2382,222.19249,28766.0,40452.19,3456000.2
47,320.0,320.0,24.0,0.625,0.625,3.6,1.4062494,4050.0,0.0,204.20184,211.31104,24234.0,34079.047,3455998.5
48,320.0,320.0,24.0,0.625,0.625,3.6,1.4062504,3554.0,0.0,181.27069,177.44289,33805.0,47538.293,3456001.0
49,320.0,320.0,24.0,0.625,0.625,3.6,1.4062498,4095.0,0.0,229.06203,215.87334,28097.0,39511.4,3455999.5
